company,url,comapanyFounded,comapnyFounder,companyCEO,companyHQ,International address,Indian address,e-mail,Contact number,Twitter Handle,ISS World,Surveillance products and solutions,Internet monitoring,Data mining and profiling,Phone monitoring,Speech analysis/Voice recognition,Face recognition,Location monitoring,Analytics,Visual surveillance,Aerial surveillance,Biometric (access control) systems,Customers,Compliance with lawful interception standards and regulations,Certification,Privacy Policy,productThreat,clientThreat,notes 
Utimaco (a member of the Sophos Group),http://www.utimaco.com/,1985,(India contact person: Mr. Altaf Halde),STEVE MUNFORD,"Aachen, Germany","Germanusstraße 4 
52080 Aachen 
Germany","Plot No. A/7, Office No. 303 & 305, Dilkap Chambers, Veera Deasi Road, Near Fun Republic, Andheri West Mumbai 400053","li-contact@utimaco.com, hsm@utimaco.de"," 00 91 2265278548 (India), 00 49 241 16960 (Germany) ",@Utimaco,"ISS World Europe, 4-6 June 2013, Prague, CZ (Associate Sponsor), Upcoming trade shows and conferences: Milipol 2013 & ISS World Asia 2013: http://lims.utimaco.com/company/newsevents/","Lawful Interception Management System (LIMS): Integrates seamlessly with 250+ network nodes (switches, routers, gateways, application servers) by leading infrastructure vendors. Seamless integration with: GSM, GPRS, UMTS, LTE, PSTN, DSL, Cable, WLAN, WiMAX. Seamless integration with: GSM, GPRS, UMTS, LTE, PSTN, DSL, Cable, WLAN, WiMAX. Role-based user management, together with capability to serve different 
networks and law enforcement agencies concurrently, allows multiple 
deployment models. Components include: LIMS Management Server, LIMS Mediation Devices, LIMS Access Points, LIMS Decoder, LIMS Gateway (http://lims.utimaco.com/products/lawful-interception-management-system/) -- LIMS Brochures: http://lims.utimaco.com/fileadmin/assets/brochures_datasheets_whitepapers/UTIMACO_LIMS_DATASHEET_EN.pdf & http://lims.utimaco.com/fileadmin/assets/brochures_datasheets_whitepapers/UTIMACO_LIMS_BROCHURE_EN.pdf Utimaco Data Retention Suite for Telecommunications Service Providers --- Brochure: http://lims.utimaco.com/fileadmin/assets/brochures_datasheets_whitepapers/UTIMACO_DRS_BROCHURE_EN.pdf (http://lims.utimaco.com/solutions/data-retention-suite/)",,,"Lawful Interception Management System (LIMS): Integrates seamlessly with
 250+ network nodes (switches, routers, gateways, application servers) 
by leading infrastructure vendors. Seamless integration with: GSM, GPRS,
 UMTS, LTE, PSTN, DSL, Cable, WLAN, WiMAX. Seamless integration with: 
GSM, GPRS, UMTS, LTE, PSTN, DSL, Cable, WLAN, WiMAX. Role-based user 
management, together with capability to serve different 
networks and law enforcement agencies concurrently, allows multiple 
deployment
 models. Components include: LIMS Management Server, LIMS Mediation 
Devices, LIMS Access Points, LIMS Decoder, LIMS Gateway 
(http://lims.utimaco.com/products/lawful-interception-management-system/)
 -- LIMS Brochures: 
http://lims.utimaco.com/fileadmin/assets/brochures_datasheets_whitepapers/UTIMACO_LIMS_DATASHEET_EN.pdf
 & 
http://lims.utimaco.com/fileadmin/assets/brochures_datasheets_whitepapers/UTIMACO_LIMS_BROCHURE_EN.pdf
 ",,,,,,,,"Telecommunications service providers, Governments, Law Enforcement Agencies","Compliant with ETSI, 3GPP, ANSI/ATIS, CALEA, Cablelabs LI standards",,http://www.utimaco.com/footer-navigation/privacy/,10,"4, 8, -",http://www.darkreading.com/authentication/utimaco-launches-new-high-end-hsm-series/240161345,How lawful interception activities help LEAs: http://lims.utimaco.com/products/lawful-interception-management-system/how-lawful-interception-activities-support-leas/ 
Data Outsourcing India,http://www.dataoutsourcingindia.com/data-mining.html,2006,,Mr Sunil Kumar,"New Delhi, India",,"T-2, 3rd Floor, HL Plaza
Plot 9, Sector 12, Dwarka,
New Delhi - 110075 (INDIA)","
info@dataoutsourcingindia.com","
 
 
 
0091 11 4353 3874,
0091 11 4353 3875,
0091 11 4353 3876,
0091 11 4353 3877",@DOINDIA,,,,Data mining services: http://www.dataoutsourcingindia.com/data-mining.html,,,,,,,,,Organisations and businesses,,,N/A,10,2,,
Vehere,http://www.veheretech.com/,2006,Founded by a handful of computer scientists (http://www.linkedin.com/company/vehere-interactive-p-ltd),"Director of Business Development = Jitender Sachdeva (http://in.linkedin.com/pub/jitender-sachdeva/20/584/6bb)
      
    
    
      ","Kolkata, India","Offices in Dubai (UAE), in Saudi Arabia, in the U.S and UK: http://www.veheretech.com/my-vehere/contact-us/","(1) R&D Lab & Regd. Office

32/7 Sahapur(West)

New Alipore, Block J

Kolkata, WB 700053 India, (2) New Delhi

401, 4th Floor Rectangle No.1

Commercial Complex D4, Saket

New Delhi 110017, India",sales@veheretech.com,00 91 33 24008700,,"Lead Sponsor of ISS MEA 2013 (http://www.veheretech.com/lead-sponsor-of-iss-world-mea-2013/), ISS World MEA 2012 (http://www.veheretech.com/iss-world-mea-2012-dubaiuae/) ","CommuLIM, VEHO DPI Probe, VEHO Replay, vCRIMES, vCRIMES DRS, GSMSense (portable IMSI catcher), VSIS, Dial-Log","VEHO DPI Probe: provides a highly advanced, data-filtering mechanism based on Deep Packet
 Inspection (DPI) technology to perform in-depth packet search across 
all seven network layers. VEHO DPI engine uses layer-7 pattern matching 
and behavior analysis technology for detection & filtration. 
Usually, this packet search involves superior algorithms to conduct 
complex, parametric searches meeting exact user requirements. In case of session-wise monitoring, if a single packet contains its 
payload data in Gzip or any other compressed format, VEHO DPI decodes 
the payload data before performing a search. VEHO DPI intercepts packets
 at multiples of  10 Gbps data transfer rate in a small form factor 
servers. A wide variety of interception criteria are supported for the 
interception of IPDR & CmC data, such as multiple-keyword, 
special-character, wild card, case-sensitivity, keyword within 
attachments, keywords within mails to name a few. VEHO DPI Probe has the
 capability of configuring thousands of complex keywords without 
degradation in performance (http://www.veheretech.com/products/veho-dpi/). VEHO Replay: a subsystem of CommuLIM Monitoring Centre. VEHO Replay is an advanced IP
 Packet reconstruction product consisting of the Reconstruction Engine 
& Analytics Engine. It is VEHO Replay which ensures that you see the
 data in the same format as seen by your target/suspect. With web 2.0 
and Ajax technologies messing the reconstruction, VEHO RE is advanced 
enough to correlate data so that “You see what they See”. The RE’s role 
is to receive the captured packets and convert them into a readable data
 format, which can be comprehended and processed further by the advanced
 Analytics Engine. VEHO Replay supports a wide range of protocols including IP, TCP, UDP, 
RTMP, HTTP, SMTP, IMAP, POP3, FTP, FTP-Control, FTP-Data, Jabber, YMSG, 
AIM, MSN, ICQ, AOL, NNTP, RADIUS, VOIP (TPAD), SIP/RTP, PRS (SMS 
Protocol) --- http://www.veheretech.com/products/veho-replay/ . Dial-Log: perfect for organizations with multiple locations and cloud deployment. 
The solutions may be configured to record, live monitor, and archive 
customer interactions from any branch and then provide search-and-replay
 either locally, via LAN, through intranets or over the Internet. The 
system uses a distributed recording mode to connect multiple recording 
platforms, departments or locations, and it automatically transfers the 
data to a central interaction platform for online access (http://www.veheretech.com/products/dial-log/)",CommuLIM Monitoring Centre: includes Pattern Analysis & Social Link Analysis (http://www.veheretech.com/products/commulim/),"CommuLIM Monitoring Centre: a flexible switch based turnkey solution for monitoring, processing, 
distributing and centralized tap provisioning for all voice and data 
communication (PSTN, GSM, GPRS, UMTS, CDMA, E-mail, VOIP, xDSL, etc.). CommuLIM operates from a global and centralized management platform, 
interfacing with the IIF/ External Interception Function (Probes) EIF 
attached to the network (http://www.veheretech.com/products/commulim/). vCRIMES: a high performance CDR Analysis System. vCRIMES processes 
billions of multi-format & complex Call Detail Records, Subscribers 
Data Records, Tower Data, Passport, and PDS data to name a few. It is 
used to analyze & gather intelligence and unveil relations and 
interconnections via graphical and intelligent outputs. vCRIMES provides necessary tools to enable the LENS Agencies to collect 
high volumes of CDR data from the mobile network operators and service 
providers, perform complex analysis at a superfast speed. The results 
can be viewed with sophisticated visualization tools to resolve pending 
cases and gather intelligence.  vCRIMES has the potential to examine and expose hidden relationships 
between different numbers in a mobile network or uncover recurrent 
structures or patterns in suspect caller networks. vCRIMES includes 
tools for detecting Sleeper Cells , conducting Probability Layer Analysis, advanced Social Network Analysis for six degree of separation 
to name a few . It uses advanced statistical analysis like kalman’s 
filter, neural network analysis to name a few. vCRIMES increases the speed of decision-making and effectiveness of case
 execution through multiple one-click analysis. Its can analyses more 
than 40Billion CRI records in less than 3sec. Its architecture is based 
on Vehere’s proprietary Distributed Mass Data Processing (DMDP) Engine (http://www.veheretech.com/products/vcrimes/). GSMSense: Portable IMSI/IMEI Catcher & GSM Mobile Tracer & Locator System (MTLS). GSMSense is an advanced system utilized for extracting IMSI/IMEI numbers
 from mobile handsets. The product has built-in functionality to 
accurately pinpoint the geographical locations of suspect callers to an 
accuracy of 1 meter. An entire group of target mobile handsets can be 
located with the help of link and data pattern analyses. The product is currently available in two models: (1) GSMSense TM31: Collect basic GSM information (IMSI, IMEI) about handsets
 in the area of interests (airport terminals, prisons etc), (2) GSMSense TM15: This model supports mobile Tracer & Locator System for pinpointing GSM handsets (http://www.veheretech.com/products/gsm-sense/) ","VSIS:  a biometric Speech Intelligence Framework uses an individual’s voice 
for identification & recognition purposes. It is a language 
independent system used to perform the daunting task of identifying an 
unknown voice using the characteristics extracted from the sample voice.
 VSIS has a framework to classify and manage masses of electronically 
available voices from various sources including all types of 
communications interceptions. It helps prioritizing voice calls that 
needs attention by the LENS Agencies with traditional interception 
systems. The speaker recognition features are used by Science Forensic 
Labs. VSIS has Cross Channel Capability (C3) to compare voices across any 
medium including UHF, VHF, HF, Satellite Phones, GSM, CDMA & VOIP. 
VSIS has the Multi Speaker Separation capability to split the 
conversation to extract individual communications for comparison. It 
uses an advanced noise reduction technology to reduce the background 
noises. Some of the VSIS features include speaker, gender, and language 
identification. VSIS’s scalable system topology ensures that VSIS runs 
over a Cluster of Servers for Mass Interception and also provide 
Real-time Identification Solution (http://www.veheretech.com/products/vsis/)",,,"CommuLIM Monitoring Centre: CommuLIM advanced analytics engine organizes and manages communication 
content in the most expedient manner; performs complex analyses to 
uncover hitherto unknown connections and recurrent patterns in suspect 
caller behavior; discovers hidden targets and their networks (http://www.veheretech.com/products/commulim/). VEHO Replay: Once the reconstructed data packets seamlessly flow to the AE for 
advanced analysis, the VEHO Replay Client enables the users to interact 
with the system through a friendly, graphical user interface with a host
 of analytics features (http://www.veheretech.com/products/veho-replay/). vCRIMES: a high performance CDR Analysis System. vCRIMES processes 
billions of multi-format & complex Call Detail Records, Subscribers 
Data Records, Tower Data, Passport, and PDS data to name a few. It is 
used to analyze & gather intelligence and unveil relations and 
interconnections via graphical and intelligent outputs. vCRIMES provides necessary tools to enable the LENS Agencies to collect 
high volumes of CDR data from the mobile network operators and service 
providers, perform complex analysis at a superfast speed. The results 
can be viewed with sophisticated visualization tools to resolve pending 
cases and gather intelligence.  vCRIMES has the potential to examine and expose hidden relationships 
between different numbers in a mobile network or uncover recurrent 
structures or patterns in suspect caller networks. vCRIMES includes 
tools for detecting Sleeper Cells , conducting Probability Layer 
Analysis, advanced Social Network Analysis for six degree of separation 
to name a few . It uses advanced statistical analysis like kalman’s 
filter, neural network analysis to name a few. vCRIMES increases the speed of decision-making and effectiveness of case
 execution through multiple one-click analysis. Its can analyses more 
than 40Billion CRI records in less than 3sec. Its architecture is based 
on Vehere’s proprietary Distributed Mass Data Processing (DMDP) Engine (http://www.veheretech.com/products/vcrimes/). VSIS: VSIS has an advanced Visual Link Analysis System built into it for analysis of output (http://www.veheretech.com/products/vsis/)",,,,"Law enforcement agencies, security agencies, telecommunications service providers, defense agencies, International Private Leased Circuit (IPLC), GSM, CDMA & Packet Data Service Providers, Disaster Response Management Team, Governments","Compliant with ETSI, CALEA and SORM regulations",ISO 9001:2008 and ISO 27001:2005 certified company,http://www.veheretech.com/terms-privacy-policy/,"9, 8, 10, 4, 7","4, 8, -",Vehere News: http://www.veheretech.com/research-news/news/,"Many of Vehere's products have been conceived, designed, and
 developed with inputs from the Law Enforcement & National Agencies 
(LENS) --- http://www.veheretech.com/my-vehere/about-us/. Vehere has been ranked as the 30th Fastest growing Technology Firm 2012 by Deloitte (http://www.veheretech.com/investors/). vCRIMES can analyses more than 40Billion CRI records in less than 3sec! (http://www.veheretech.com/products/vcrimes/)"
4Gid Solutions,http://4gid.com/contactus.html,2001,,Dr. Sreeni Tripuraneni,"Hyderabad, India","PO Box No. 500417,
G09, Building No. 10,
Dubai Internet City, Dubai, UAE","Plot No.: 330 & 331, 
Road No. 79, Jubilee Hills
Hyderabad – 500 034, India, Plot No.: 241, Prashasan Nagar,
Road No. 72, Jubilee Hills
Hyderabad – 500 034, India, B348-D, Sushant Lok-1
Gurgaon - 122001",info@4Gid.com,"00 91 40 23558789 / 32913939, 00 91 40 23558799, 00 91 124 4214747",@4gid,,"4G Multi Modal ID Platform, eAccess, Enrollment devices, Authentication devices, Smart cards: http://4gid.com/products.html",,,,,,,,,,"4G Multi Modal ID Platform, eAccess, Enrollment devices, Authentication devices, Smart cards: http://4gid.com/products.html","Governments, law enforcement agencies, enterprise, banks",,"ISO 9001-2008 -  International Standards Organization (ISO) Quality Management System Standard, SEI CMM Level 3 -  Software Engineering Institute (SEI) Capability Maturity Model for Software  (CMM) Level 3 in Compliance, STQC / UIDAI  Certification for Biometric Enrollment Devices, SCOSTA Certification for Smart Cards - 32k certification, 64k certification, FBI Certification  for fingerprint scanners, NIST Compliant  open standards",http://4gid.com/privatepolicy.html,1,"2, 4, -",List of News Coverage: http://4gid.com/news.html,"4Gid  deployed a web-based online enrollment application for the world’s
 first Unique  Citizen ID database for 90 million citizens of Andhra Pradesh, India (http://4gid.com/citizenachievements.html) - 4Gid aids the UID scheme. "
ADISYS Technologies Pvt. Ltd. ,http://www.adisysonline.com/contact_us.php,,,,"Bangalore, India","686D, #15-264, Choa Chu Kang Crescent, Singapore - 684 686","# 516, 1st Floor, 2nd Main, ‘A’ Block, 2nd Stage, Rajajinagar, Bangalore - 560 055",sales@adisysonline.com,00 91 80 23578476 /  9916912672,,,"CCTV cameras, CCTV DVR, IP cameras, Access Control Systems",,,,,,,,"CCTV cameras, CCTV DVR, IP cameras: http://www.adisysonline.com/#nogo2",,"Access control systems: Biometric, RFID, Fingerprint Door Locks, Access Readers",List of clients: http://www.adisysonline.com/clients.php#Manufacturing,,,http://www.adisysonline.com/privacy.php,"1, 6, -",2,,
BioEnable Technology Pvt. Ltd. ,http://www.bioenabletech.com/,2001,Pradeep Bhatia (http://www.linkedin.com/in/pksden & http://www.bioenabletech.com/about-us),Pradeep Bhatia (http://www.linkedin.com/in/pksden & http://www.bioenabletech.com/about-us),"Pune, India",,"Office No. 203, 2nd Level,Cyber City Tower S4
Magarpatta City, Hadapsar,Pune-411013, MH, India, E-204, 3rd floor,
Railway Station Complex, CBD Belapur
Navi Mumbai, MH, India, UG-11,Shivlok House 2,
Karampura Complex (Moti Nagar),
New Delhi – 110015, KRIATIONZ , #8, 6th Main, HVR Layout
Magadi Main Road, Bangalore-560079.MCS, 2nd Floor, Plot – 41,
Fatima Ahmed Manzil,
D.V.Colony, Near KIMS Hospital,
Minister Road,
Secunderabad – 500 003",sales@bioenabletech.com,"00 91 20 66813622, 00 91 20 66813623, 

",@Bioenable,,"Biometric systems and products, Fingerprint recognition products, Access control systems and software, Face recognition systems, Iris recognition systems, GPS Tracking and Fleet Management Systems, RFID & Auto ID products and services: http://www.bioenabletech.com/products. Solutions specifically for Law Enforcement Agencies: (1) Crimianal Identification biometric solutions, (2) Biometric Mobile ID solutions, (3) Law Enforcement Solution - Automated Fingerprint Identification Solutions, Automated Biometric Identification Systems, Live Scan Solution, Mobile ID Solution, ID Management Prisons, ID Management for Courts, (4) Crime and Criminal Tracking Networks System (CCTNS), (5) Common Integrated Police Application (CIPA), (6) Biometric Passports, (7) Biometric Security: http://www.bioenabletech.com/biometric/biometric-id-solutions/law-enforcement",,,,,"Face Recognition Systems: Cloud Face Recognition Services, Face Recognition Identity Management System, Face Recognition Software, Face Recognition Login, Face Recognizer, Face Recogniton Database, Face Recognition Security, Face Detection Software: http://www.bioenabletech.com/face-recognition-system","GPSintegrated.com
 is a Web & Mobile based GPS Location Tracking System . It allow you
 to offer GPS Tracking, Emergency Assistance & Fleet management 
services in your city. It allow your customers to track mobile vehicles,
 assets, people and even animals. Technology: GPS Integrated is based on GPS (Global 
Position System), GSM (Global System of Mobile) & Web Technologies. 
This service require you to purchase a GPS Tracking device, a Mobile SIM
 card and Web/Mobile based service subscription. (http://www.bioenabletech.com/gps-tracking)",,,,"Biometric systems and products, Fingerprint recognition products, Access
 control systems and software, Iris 
recognition systems: 
http://www.bioenabletech.com/products. Solutions specifically for Law 
Enforcement Agencies: (1) Crimianal Identification biometric solutions, 
(2) Biometric Mobile ID solutions, (3) Law Enforcement Solution - 
Automated Fingerprint Identification Solutions, Automated Biometric 
Identification Systems, Live Scan Solution, Mobile ID Solution, ID 
Management Prisons, ID Management for Courts, (4) Crime and Criminal 
Tracking Networks System (CCTNS), (5) Common Integrated Police 
Application (CIPA), (6) Biometric Passports, (7) Biometric Security: 
http://www.bioenabletech.com/biometric/biometric-id-solutions/law-enforcement","Law Enforcement Agencies, the UIDAI, Governments, NGOs, Banking, Finance, Healthcare",,"2005 – ISO9001:2000 Certified Quality Management processes. 2012- BioEnable is certified with ISO 9001 : 2008 for “Supply, 
Support, Service, Manufacturing & Development of Biometrics,AutoID 
& Wireless Electronic Products & Software.” 2012 – BioEnable receives STQC certificate for Single Finger Scanner 
used for large scale Government, Banking & Aadhaar project in India. ",N/A,"1, 3, 5, -","2, 4, -",List of (UID related) news: http://www.bioenabletech.com/biometric/news,"Bioenable is considered to be ""India´s leading Biometric company"". Bioenable aids the UIDAI biometric technology for the UID scheme. More then 8 States use BioEnable Slap Fingerprint Scanner for the UID Aadhaar project (http://www.bioenabletech.com/about-us). In addition, Bioenable aids Indian law enforcement agencies with biometric technology to carry out the Crime and Criminal Tracking Network System (CCTNS): http://www.bioenabletech.com/crime-and-criminal-tracking-network-system-cctns.html. Furthermore, Bioenable have supplied Products & Developed software for Nearly 500 projects worldwide in over 50 countries in the last 10 years. They have also supplied products & technology for Defense & national ID in Africa (http://www.bioenabletech.com/about-us). 







"
"
Cynosure Technologies Pvt Ltd (Timelabs)",http://www.timelabs.in/,,,,"New Delhi, India",,"164, Shyam Path, Chitrakoot Marg 
Behind Bharat Apartments,
Vidyut nagar - C,
Vaishali Nagar, Jaipur - 302 021, 308, Hemkunt Chambers 
89, Nehru Place 
New Delhi - 110 019 
INDIA  ","info@timelabs.in, info@cynosuretech.com  ","00 91 141 517 9760, 00 91 11 2644 0144 ",@TimelabsPro,,"Biometric devices: http://www.timelabs.in/product-tour.html, Face Recognition System: http://www.timelabs.in/face-recognition-machine.html",,,,,Face Recognition System: http://www.timelabs.in/face-recognition-machine.html,,,,,"Biometric System, Biometric Attendance, Biopmetric Attendance System, Biometric Time Attendance, Iris Reader, Fingerprint reader, Biometric Access Control, RFID Card Reader: http://www.timelabs.in/biometric-devices.html",List of clients: http://www.timelabs.in/clients.html,,,N/A,"3, 1, -",2,,
Fulcrum Biometrics,http://www.fulcrumbiometrics.com/,2002,Mr. Ken Nosker,Mr. Ken Nosker,"San Antonio, USA","1862 W. Bitters Road #100
San Antonio, TX 78248","661, Udyog Vihar, Phase - V
Gurgaon - Haryana, INDIA 122016",,00 91124 4145414,,,Biometric devices and solutions. Biometric Product Index: http://www.fulcrumbiometrics.com/pindex.asp,,,,,,,,,,"Biometric Devices: FbF mobileOne, Fingerprint Scanners, Eye/Iris Cameras, Palm Vein Scanners, Live Scan devices. Biometric Solutions: Mobile Apps, Live Scan Systems, Access Control Units","Micro Finance, E-Government, Retail
Point-of-Sale, Healthcare, Travel, Benefits Management and Banking. ",,,http://www.fulcrumbiometrics.com/terms_privacy.asp,1,"2, 4, -",Fulcrum Biometrics news: http://www.fulcrumbiometrics.com/Articles.asp?ID=241,"Fulcrum Biometrics Wins Award for Best Biometric Identification
Solution in GSN's 4th Annual Homeland Security Awards (http://www.fulcrumbiometrics.com/Articles.asp?ID=310)"
Incept,http://www.inceptonline.com/location-addresses,2008,,,"Mumbai, India","Office No 401, 4th Floor, Al Rustumani Building, Opp. Alfardan Exchange, Khaild Bin Walid Street, Computer Street, Bur Dubai, PO Box 113578, Dubai, UAE.","202,205, Shivam Chambers, Next to Sahara, S. V. Road, Goregoan (W), Mumbai 400104", info@inceptonline.com,00 91 22 6769 6666 ,@inceptonline,,CCTV cameras and biometric access control systems. ,,,,,,,,CCTV cameras: (1) Vandal-secure Dome Camera: 480 TVL and sturdily designed enclosure (2) Good Quality resolution Dome Camera with Night vision and Weather protection (3) Bullet Camera with Night Vision and 600 TVL resolution (http://www.inceptonline.com/content/cctv & http://www.inceptonline.com/products?term_node_tid_depth_1=225&term_node_tid_depth=All),,"iFace402-I, F709-I, MA300-I, C3400-I: http://www.inceptonline.com/products?term_node_tid_depth_1=224&term_node_tid_depth=All","Banks, House owners, Casinos, Airports, Retail Stores, Small Sized Companies, Factories",,ISO 9001:2008 Certified & Verisign certification for Website,http://www.inceptonline.com/content/privacy-policy,"6, 1, -",2,,Widely recognized as one of the leaders and  the no 1 brand of Biometrics in India in the business of serving SMEs with office automation products (http://www.inceptonline.com/content/about-us)
IriTech Inc. ,http://www.iritech.com/office-locations,2000,,Dr. Dae-hoon Kim,"Fairfax, VA, USA","3951 Pender Dr., Suite 120A
Fairfax, VA 22030, USA, Suite 701, Cheongdong Bldg.,
1922, Nambusunhwan-Ro
Gwanak-Gu, Seoul, 151-832, Korea, The Second Nakata-Bldg. 2F,
1-2-15 AkasakaMinatoku Tokyo 107-0052, 4th Floor, 400/3 Ung Van Khiem St.,
Ward 25, BInh Thanh District, Ho Chi Minh City, Vietnam.","Bangalore, India (sales)",info@iritech.com, 00 1 703 877 2135,@IriTechInc,,"Biometric hardware and software products, as well as biometric solutions: http://www.iritech.com/products ",,,,,,,,,,"Hardware: IriTech's assortment of iris camera hardware offers flexible and simplified integration for creating iris recognition solutions (IriShield Series, IriMagic Series, IriHerald): http://www.iritech.com/products/hardware, Software: IriTech's iris recognition software offers the accuracy and power you need to capture and manage large numbers of iris images (IriCore, IriMaster, IriMatchEnhancer, IriTemplateGenerator, IriVerifier, IrisSDK, IriTracker, ForYouIrisOnly): http://www.iritech.com/products/software, Biometric Solutions: IriTech's assortment of iris camera hardware offers flexible and simplified integration for creating iris recognition solutions (Cloud-based iris recognition solution & Iris on a Mobile solution): http://www.iritech.com/products/solutions","Mobile, health care, education, military and law enforcement.",,"STQC certification, INCITS 379, ISO 19794-6",N/A,1,"2, 4, -",IriTech news: http://www.iritech.com/news-events/news,"IriTech Secured STQC Certification for India's UID Project, the Largest Biometric Project in History.
 "
Legend Systems Private Limited (Precision Biometric),http://precisionbiometric.co.in/,2001,Mathew Chacko,Mathew Chacko,"Chennai, India",,"No.22, Habibullah Road
Thyagaraya Nagar
Chennai,  600 017
India",,00 91 44 4219 9524,,,"Fingerprint Devices, Iris, BioNIX, InnaIT-CBS, UID Kit, InnaIT-SDK, FI Kit, Attendance and Access Control Systems",,,,,,,,,,"Fingerprint Devices: (1) PB100e: PB100e is a Radio Frequency (RF) based fingerprint scanner with a USB 
interface widely used for civilian use like Financial Inclusion, two 
factor authorization, identification, authentication, enrollment, 
security etc. (2) CSD200: The CSD200, 3M Cogent’s single-digit optical fingerprint scanner, is 
housed in a durable and compact casing and captures high quality flat 
impressions in a fast, reliable, and easy-to-learn way. Its advanced 
optical system enhances ambient light rejection. (3) CS500: The Cogent CS500e LiveScan solution, featuring the CS500e scanner, is  
an  easy-to-learn,  user-friendly system that captures rolled and flat 
fingerprints. The software guides the  operator  through  the  capture 
process   with   on-screen   prompts   and   graphical displays. 
Real-time image quality check, sequence verification, auto-center, and 
auto-contrast functions ensure the capture of high-quality prints. Iris: (1) CIS202: CIS202 is the latest Iris Scanner from 3M Cogent. This rugged dual iris 
capture scanner offers a robust yet low cost solution for rapid and 
simultaneous iris capture in less than two seconds. This USB-powered 
scanner enables users to safely capture high resolution iris images, 
while eliminating intrusive capture position or user discomfort. (2) CS101: CS101 is the latest Multi-function biometric Scanner and is considered 
as the most accurate iris scanner for authentication which detects the 
person’s identity with mathematical analysis of the random patterns that
 are visible within the iris of an eye from some distance. The iris 
remains stable over time as long as there are no injuries and a single 
enrolment scan can last a lifetime. Solutions: (1) BioNIX: A solution to manage the identity of your organisation’s privileged 
accounts. This is a robust solution using our advanced Radio Frequency 
based fingerprint scanner. A login control application that strengthens 
the login security by using biometric instead of password. (2) InnaIT-CBS: InnaIT-CBS is the most mature biometric technology, in which 
authentication would remove loopholes in security in applications, 
facilitate faster, simplified, accurate, and non-intrusive 
authentication procedures, which also increases productivity, and 
provides an audit trail that cannot be repudiated. (3) UID Kit: Precision Infomatic (M) Pvt Ltd provides the AADHAAR/UID Enrolment Kit for the Registrars, Enrolment 
agencies and Outsourcing agencies who have taken the work order from 
UIDAI for enrolling the residents of respective regions. (4) InnaIT-SDK: InnaIT-SDK is intended for the development of fingerprint based applications and solutions. (5) FI Kit: Financial Inclusion is the delivery of banking services at affordable 
costs to vast sections of disadvantaged and low income groups including 
households, enterprises, SMEs, traders. (6) Attendance and Access Control: http://precisionbiometric.co.in/attendance-access.php. Generally, all this information is found through the ""products"" and ""solutions"" sections in the website: http://precisionbiometric.co.in/",,,"STQC, ISO 9001: 2008, BioApi",N/A,1,-,,"Precision Infomatic (M) Pvt Ltd have supplied around 25,000 UID/AADHAAR kits across India for the enrolment phase of the project (http://precisionbiometric.co.in/uid.php) "
